customer_id,membership,lname,fname,phone,email
03897-778,member,Dunford,Leticia,200-918-2561,ldunfordh@ning.com
09777-324,guest,NULL,NULL,NULL,NULL
11558-821,guest,NULL,NULL,NULL,NULL
14096-494,guest,NULL,NULL,NULL,NULL
14660-625,member,Castel,Annamarie,655-922-5780,acastelr@china.com.cn
14732-134,member,Tesseyman,Malia,717-699-6027,mtesseyman1a@lulu.com
20445-148,guest,NULL,NULL,NULL,NULL
20679-946,guest,NULL,NULL,NULL,NULL
20722-594,member,Haney,Rod,940-163-4612,rhaney18@bloglines.com
22363-333,guest,NULL,NULL,NULL,NULL
25756-330,member,Sloy,Nev,150-502-7786,nsloy14@pcworld.com
26092-977,guest,NULL,NULL,NULL,NULL
29983-836,guest,NULL,NULL,NULL,NULL
31088-407,member,Renner,Renell,573-884-5696,rrennerf@hp.com
33548-213,member,Shayes,Marybelle,972-640-5369,mshayesv@cocolog-nifty.com
35329-164,guest,NULL,NULL,NULL,NULL
36844-427,member,Cheesworth,Dickie,206-349-8510,dcheesworth9@clickbank.net
40431-292,member,Giblin,Herold,888-473-8459,hgiblinm@wisc.edu
41775-475,member,Start,Roslyn,976-813-7973,rstart17@yandex.ru
41991-040,guest,NULL,NULL,NULL,NULL
44008-071,member,Dowdam,Rickie,350-585-6744,rdowdam12@goo.gl
46539-998,guest,NULL,NULL,NULL,NULL
47998-578,guest,NULL,NULL,NULL,NULL
48096-866,guest,NULL,NULL,NULL,NULL
54036-982,guest,NULL,NULL,NULL,NULL
57732-775,member,Clelland,Clevey,918-585-5465,cclellandn@rediff.com
57976-117,member,Bradnick,Free,595-628-0335,fbradnick1c@xinhuanet.com
58682-831,guest,NULL,NULL,NULL,NULL
59186-152,guest,NULL,NULL,NULL,NULL
62413-778,member,Churchyard,Michel,672-179-2164,mchurchyardj@google.co.uk
64596-034,guest,NULL,NULL,NULL,NULL
65138-790,member,Nannini,Caesar,707-985-1051,cnannini0@sakura.ne.jp
67270-901,member,Fortun,Gary,273-545-5610,gfortunx@amazon.de
69500-285,member,Trevenu,Louisa,100-612-8696,ltrevenui@japanpost.jp
72465-574,member,Calderhead,Nobe,643-523-5447,ncalderheadl@soundcloud.com
72638-861,member,Grimmett,Hedi,338-772-2851,hgrimmett11@go.com
73085-081,member,Roper,Evaleen,844-897-3667,eroper10@pcworld.com
78055-524,guest,NULL,NULL,NULL,NULL
78861-718,guest,NULL,NULL,NULL,NULL
80966-863,guest,NULL,NULL,NULL,NULL
82945-862,guest,NULL,NULL,NULL,NULL
83266-030,member,Devonside,Asher,570-785-3696,adevonside6@artisteer.com
83491-646,guest,NULL,NULL,NULL,NULL
86984-659,guest,NULL,NULL,NULL,NULL
87359-043,guest,NULL,NULL,NULL,NULL
89866-929,member,Leavens,Trefor,295-571-8684,tleavens15@bloglines.com
90847-852,guest,NULL,NULL,NULL,NULL
93747-169,member,Droogan,Caesar,578-186-2196,cdroogan2@hao123.com
96538-806,member,Pieterick,Herrick,999-398-0767,hpieterickz@java.com
99237-531,guest,NULL,NULL,NULL,NULL
