emp_id,first_name,last_name,street,city,state,zip,SSN,email,phone,gender,position,salary,location
26965,Elysee,Henstridge,833 Ridgeview Court,Oakland,California,94605,XXX-XX-3396,ehenstridge1a@bbbooks.com,510-136-1789,Bigender,bookseller,440623,B001
47929,Wildon,Hebden,175 Sycamore Point,Los Angeles,California,90065,XXX-XX-4369,whebdeno@bbbooks.com,323-402-4969,Male,bookseller,489263,B001
36688,Arline,MacDowall,78 Sutteridge Street,Los Angeles,California,90050,XXX-XX-7789,amacdowall3@bbbooks.com,213-750-0778,Female,bookseller,194275,B001
10878,Cynthea,Volette,1797 Waywood Street,Long Beach,California,90840,XXX-XX-6794,cvoletten@bbbooks.com,562-603-8778,Female,assistant store manager,123798,B001
54527,Amelina,Trime,968 Mandrake Court,San Jose,California,95155,XXX-XX-1757,atrime18@bbbooks.com,408-267-8086,Female,store manager,394006,B001
26112,Corty,Flott,80684 Lyons Avenue,Los Angeles,California,90010,XXX-XX-0851,cflott0@bbbooks.com,562-570-1623,Male,bookseller,109202,B001
61091,Mandi,Files,374 Burning Wood Park,Los Angeles,California,90076,XXX-XX-9060,mfilesr@bbbooks.com,323-397-2926,Female,bookseller,426950,B002
50668,Christopher,Polak,45404 Green Ridge Way,Chula Vista,California,91913,XXX-XX-6860,cpolakv@bbbooks.com,619-336-3802,Male,bookseller,165769,B002
57956,Hunt,Holwell,68 Victoria Drive,Irvine,California,92612,XXX-XX-8304,hholwellb@bbbooks.com,714-649-4209,Male,bookseller,160496,B002
13819,Giuseppe,Grabiec,46385 Hollow Ridge Point,San Francisco,California,94142,XXX-XX-7976,ggrabiec12@bbbooks.com,415-620-1442,Male,store manager,167889,B002
92518,Randi,Bartoloma,0 Lakewood Gardens Avenue,San Diego,California,92105,XXX-XX-5821,rbartolomaw@bbbooks.com,858-401-7884,Female,assistant store manager,440200,B003
46758,Lance,Houldin,7 Prentice Drive,Santa Ana,California,92725,XXX-XX-3359,lhouldinz@bbbooks.com,714-705-4952,Male,bookseller,72242,B003
78059,Lazaro,Heindl,0974 Anhalt Terrace,Los Angeles,California,90065,XXX-XX-4301,lheindld@bbbooks.com,323-315-8393,Male,bookseller,367681,B003
28216,Roderich,Olney,3 Judy Drive,Garden Grove,California,92844,XXX-XX-0097,rolney14@bbbooks.com,310-524-5692,Non-binary,bookseller,404251,B003
26893,Deirdre,Pauluzzi,5547 Westend Avenue,San Jose,California,95118,XXX-XX-6131,dpauluzzi8@bbbooks.com,408-974-0122,Polygender,assistant store manager,90915,B004
45866,Reuven,Reckhouse,4259 Esch Road,San Francisco,California,94137,XXX-XX-8890,rreckhouse1@bbbooks.com,415-210-1870,Male,store manager,357986,B004
63392,Muffin,Fishley,681 Kings Pass,Santa Ana,California,92725,XXX-XX-5136,mfishleyc@bbbooks.com,714-845-1271,Male,bookseller,80734,B004
67988,Dar,Cammis,0916 Kim Junction,Chico,California,95973,XXX-XX-3623,dcammisi@bbbooks.com,530-299-8476,Genderfluid,bookseller,74639,B004
95854,Allyn,Altimas,3 Dawn Terrace,Fresno,California,93709,XXX-XX-9680,aaltimass@bbbooks.com,559-377-6472,Male,bookseller,236376,B004
86206,Josiah,Gritton,637 Sugar Road,San Francisco,California,94142,XXX-XX-7139,jgritton9@bbbooks.com,415-169-4436,Male,bookseller,339503,B004
77667,Norah,Maxstead,88 Old Shore Hill,Whittier,California,90610,XXX-XX-4476,nmaxstead6@bbbooks.com,562-779-1266,Female,barista,160535,C001
44114,Barbie,De Andreis,39 Carberry Plaza,Mountain View,California,94042,XXX-XX-7640,bdeandreisg@bbbooks.com,650-950-2863,Female,barista,372347,C001
